name*,version*,license*,vendor/community,end-of-support,dependencies,language
org.eclipse.osgi.services,3.3.100.v20130513-1956,EPL 1.0,,,,java
org.eclipse.update.configurator,3.3.200.v20130326-1319,EPL 1.0,,,,java
org.mozilla.javascript,1.7.2,EPL 1.0,,,,java
org.w3c.css.sac,1.3.0,EPL 1.0,,,,java
org.w3c.dom.smil,1.0.0,EPL 1.0,,,,java
org.w3c.dom.svg,1.1.0,EPL 1.0,,,,java
poi,3.9,Apache 2.0,,,,java
poi-ooxml,3.9,Apache 2.0,,,,java
poi-ooxml-schemas,3.9,Apache 2.0,,,,java
slf4j-api,1.7.22.jbossorg-1,MIT,,,,java
stax-api,1.0.1,Apache 2.0,,,,java
Tidy,1,EPL 1.0,,,,java
viewservlets,4.5.0,EPL 1.0,,,,java
xml-apis,1.0.b2,Apache 2.0,,,,java
xmlbeans,2.3.0,Apache 2.0,,,,java
